sku,price,rrp_incl,recommended_margin,promo_price,promo_starts,promo_ends,cptstock,jhbstock,dbnstock,nextshipmenteta
BHR08CIGL,1679,2269,14.90,N/A,N/A,N/A,18,40,0,N/A
"CUBE 2 PRO BLU",2784,3999,19.94,N/A,N/A,N/A,40,17,0,N/A
"PRO X870E-PWIFI",4433,5999,15.02,N/A,N/A,N/A,3,17,0,N/A
NX.EJ4EA.001,7999,10299,10.68,N/A,N/A,N/A,5,12,2,N/A
NX.EJ8EA.00N,8918,11399,10.03,N/A,N/A,N/A,28,7,2,N/A
NX.EJ8EA.00H,15099,19299,10.03,N/A,N/A,N/A,5,14,0,N/A
NX.EJ8EA.00C,12519,15999,10.01,N/A,N/A,N/A,5,9,0,N/A
TUFGAMINGB850MPLUSWIFI7,3770,5099,14.97,N/A,N/A,N/A,2,7,0,N/A
GM700TZ-R9800X185W,33107,42299,9.99,N/A,N/A,N/A,0,0,0,N/A
V3607VH-I71610B0X,21134,26999,9.98,N/A,N/A,N/A,15,20,0,N/A
PA27UCX-K,28202,38999,16.84,N/A,N/A,N/A,1,0,0,N/A
ST4000NT001,3340,4799,19.96,N/A,N/A,N/A,4,8,0,N/A
ST20000NT001,11723,16849,19.99,N/A,N/A,N/A,0,0,0,N/A
ST8000NM017B,4770,6859,20.02,N/A,N/A,N/A,0,0,0,N/A
ST6000VN006,3229,4639,19.95,N/A,N/A,N/A,0,0,0,N/A
ST6000NT001,3827,5499,19.97,N/A,N/A,N/A,3,9,2,N/A
ST6000NM019B,4607,6619,19.96,N/A,N/A,N/A,2,5,0,N/A
ST4000NM000B,3600,5169,19.91,N/A,N/A,N/A,0,5,0,N/A
ST10000NT001,5321,7649,20.00,N/A,N/A,N/A,1,2,0,N/A
ST10000NM017B,5453,7839,20.00,N/A,N/A,N/A,12,31,0,N/A
RTX5050GAMINGOC8GB,6137,8299,14.96,N/A,N/A,N/A,6,18,0,N/A
TUF-GAMING-1000G-WHITE,3623,4899,14.95,N/A,N/A,N/A,1,0,0,N/A
TUF-GAMING-1000G,3252,4399,14.99,N/A,N/A,N/A,2,1,0,N/A
ROGSTRIXLCIII360ARGBLCD,4064,5499,15.01,N/A,N/A,N/A,1,3,0,N/A
ROG-THOR-1200P3-GAMING,7321,9899,14.95,N/A,N/A,N/A,1,0,0,N/A
MAXGAMINGLC360ARGBLCDWHT,1923,2599,14.91,N/A,N/A,N/A,1,2,0,N/A
MAXGAMINGLC360ARGBLCD,1775,2399,14.91,N/A,N/A,N/A,3,4,0,N/A
ROG-ASTRAL-RTX5090-O32BTF,60066,81269,15.00,N/A,N/A,N/A,1,2,0,N/A
ELA6568EU,3099,3999,10.88,N/A,N/A,N/A,0,28,0,N/A
ELA6556EU,3742,4999,13.92,N/A,N/A,N/A,0,100,0,N/A
ELA6416EU,1784,2299,10.76,N/A,N/A,N/A,0,88,0,N/A
ELA6410EU,2168,2799,10.93,N/A,N/A,N/A,0,100,0,N/A
ELA6221EU,5421,6999,10.93,N/A,N/A,N/A,24,24,0,N/A
ASUS_UWM_A31COMBO_2,8399,11399,15.27,7799,2026-04-02,2026-04-30,5,0,0,N/A
ASUS_UWM_AP202COMBO_1,8799,11899,14.96,7999,2026-04-02,2026-04-30,3,0,0,N/A
PRIME-750B-BLACK,1495,2019,14.85,N/A,N/A,N/A,2,100,0,N/A
PSD48G320081,1366,1849,15.04,1099,2026-04-01,2026-04-17,0,11,0,N/A
NH.QYXEA.001,19559,24999,10.03,N/A,N/A,N/A,29,32,4,N/A
BHR08OLGL,393,529,14.57,N/A,N/A,N/A,52,100,0,N/A
BHR08OMGL,393,529,14.57,N/A,N/A,N/A,30,73,0,N/A
RTX5070WOWMIDVOIDOC12GB,14859,20099,14.98,N/A,N/A,N/A,2,3,0,N/A
RTX5060TISHADOW2XOCPLU,8278,11199,15.00,N/A,N/A,N/A,3,16,2,N/A
RTX5050VENTUS2XOC8G,5688,7699,15.04,N/A,N/A,N/A,5,9,0,N/A
BHR9114EU,925,1249,14.83,N/A,N/A,N/A,17,36,0,N/A
BHR8959GL,444,599,14.76,N/A,N/A,N/A,7,31,0,N/A
BHR08W0GL,97,129,13.53,N/A,N/A,N/A,0,0,0,N/A
BHR08SAGL,684,929,15.33,N/A,N/A,N/A,10,50,0,N/A
BHR08S9GL,1081,1459,14.79,N/A,N/A,N/A,5,15,0,N/A
BHR08S8GL,1183,1599,14.92,N/A,N/A,N/A,9,19,0,N/A
BHR08O8GL,666,899,14.81,N/A,N/A,N/A,19,46,0,N/A
BHR08O7GL,666,899,14.81,N/A,N/A,N/A,18,52,0,N/A
BHR08O0GL,572,769,14.46,N/A,N/A,N/A,5,8,0,N/A
BHR08NZGL,572,769,14.46,N/A,N/A,N/A,6,17,0,N/A
BHR08LRGL,137,199,20.83,N/A,N/A,N/A,15,45,0,N/A
BHR087BGL,558,759,15.45,N/A,N/A,N/A,10,14,0,N/A
BHR087AGL,222,299,14.62,N/A,N/A,N/A,20,55,0,N/A
BHR07ZWGL,738,999,15.05,N/A,N/A,N/A,4,17,0,N/A
BHR07ZVGL,738,999,15.05,N/A,N/A,N/A,3,13,0,N/A
BHR07ZRTY,185,249,14.56,N/A,N/A,N/A,0,0,0,N/A
BHR9917GL,447,599,14.18,N/A,N/A,N/A,17,42,0,N/A
BHR9441GL,447,599,14.18,N/A,N/A,N/A,75,100,4,N/A
