;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
DISCLAIMER NOTE: Prices may vary from time to time, and change without any or short notice due to the rand dollar exchange. For accurate prices and stock levels we recommend logging into our webstore or to contact your sales agent;;;;;;;;;;Order Value:;R 0;;;;;;;;;;;;;;;;;;;;;;
Item Code;;Price (excl VAT);RRP (Incl VAT);;;Description;Brand;Website;Warranty;;;;;;;;;;;;;;;;;;;;;;;;
aa0;Appliances > Air & climate control;;;;;;;;;;;-2;;;Motherboards;;;;;;;;;;;;;;;;;;
aa1;Appliances > Air & climate control > Accessories;;;;;;;;;;;-1;;;Motherboards;;;;;;;;;;;;;;;;;;
SCG4021GL;Appliances > Air & climate control > Accessories;R 475;R 679;;;Xiaomi Air Purifier HEPA Filter;Xiaomi;Product URL;6 Months;;;0;https://www.syntech.co.za/product/xiaomi-air-purifier-hepa-fltr/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8609GL;Appliances > Air & climate control > Accessories;R 279;R 399;;;Xiaomi Smart Evaporative Humidifier Filter;Xiaomi;Product URL;6 Months;;;1;https://www.syntech.co.za/product/xiaomi-smart-evaporative-humidifier-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5861GL;Appliances > Air & climate control > Accessories;R 418;R 599;;;Xiaomi Smart Air Purifier 4 Compact Filter;Xiaomi;Product URL;6 Months;;;2;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-compact-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR9968TY;Appliances > Air & climate control > Accessories;R 488;R 699;;;Xiaomi Smart Pet Care Air Purifier Filter;Xiaomi;Product URL;6 Months;;;3;https://www.syntech.co.za/product/xiaomi-smart-pet-care-air-purifier-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5272GL;Appliances > Air & climate control > Accessories;R 584;R 839;;;Xiaomi Smart Air Purifier 4 Lite Filter;Xiaomi;Product URL;6 Months;;;4;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-lite-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5120GL;Appliances > Air & climate control > Accessories;R 651;R 939;;;Xiaomi Smart Air Purifier 4 Filter;Xiaomi;Product URL;6 Months;;;5;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5062GL;Appliances > Air & climate control > Accessories;R 762;R 1 099;;;Xiaomi Smart Air Purifier 4 Pro Filter;Xiaomi;Product URL;6 Months;;;6;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-pro-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
aa2;Appliances > Air & climate control > Air purifiers;;;;;;;;;;;7;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR08MZEU;Appliances > Air & climate control > Air purifiers;R 3 328;R 4 499;;RETAIL;Xiaomi Mijia Smart Air Purifier 6;Xiaomi;Product URL;1 Year;;;8;https://www.syntech.co.za/product/xiaomi-mijia-smart-air-purifier-6/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5860EU;Appliances > Air & climate control > Air purifiers;R 1 553;R 2 099;;RETAIL;Xiaomi Smart Air Purifier 4 Compact EU;Xiaomi;Product URL;1 Year;;;9;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-compact-eu/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR9969EU;Appliances > Air & climate control > Air purifiers;R 1 849;R 2 499;;RETAIL;Xiaomi Smart Pet Care Air Purifier;Xiaomi;Product URL;1 Year;;;10;https://www.syntech.co.za/product/xiaomi-smart-pet-care-air-purifier/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5274GL;Appliances > Air & climate control > Air purifiers;R 2 659;R 3 599;;RETAIL;Xiaomi Smart Air Purifier 4 Lite EU;Xiaomi;Product URL;1 Year;;;11;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-lite/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5056EU;Appliances > Air & climate control > Air purifiers;R 4 656;R 6 299;;RETAIL;Xiaomi Smart Air Purifier 4 Pro;Xiaomi;Product URL;1 Year;;;12;https://www.syntech.co.za/product/xiaomi-smart-air-purifier-4-pro/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
aa3;Appliances > Air & climate control > Fans;;;;;;;;;;;13;;;Motherboards;;;;;;;;;;;;;;;;;;
WX-HF101;Appliances > Air & climate control > Fans;R 194;R 299;;;WINX Move Cool Hand Held Fan;Winx;Product URL;2 Year;;;14;https://www.syntech.co.za/product/winx-move-cool-high-speed-handheld-fan/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6089GL;Appliances > Air & climate control > Fans;R 520;R 699;;RETAIL;Xiaomi Rechargeable Mini Fan;Xiaomi;Product URL;1 Year;;;15;https://www.syntech.co.za/product/xiaomi-rechargeable-mini-fan/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
