sku,price,rrp_incl,recommended_margin,promo_price,promo_starts,promo_ends,cptstock,jhbstock,dbnstock,nextshipmenteta
PCB_STRIKER_01,10172,12999,10.01,N/A,N/A,N/A,0,0,0,N/A
PSD48G320081,1334,1799,14.72,1099,2026-03-03,2026-03-13,70,23,0,N/A
BHR08OLGL,393,529,14.57,N/A,N/A,N/A,58,100,0,N/A
BHR08OMGL,393,529,14.57,N/A,N/A,N/A,0,0,0,N/A
BHR9114EU,925,1249,14.83,N/A,N/A,N/A,0,0,0,N/A
BHR8959GL,444,599,14.76,N/A,N/A,N/A,0,0,0,N/A
BHR08O0GL,572,769,14.46,N/A,N/A,N/A,0,0,0,N/A
BHR08NZGL,572,769,14.46,N/A,N/A,N/A,0,0,0,N/A
BHR07ZWGL,738,999,15.05,N/A,N/A,N/A,0,0,0,N/A
BHR07ZVGL,738,999,15.05,N/A,N/A,N/A,0,0,0,N/A
BHR07ZRTY,185,249,14.56,N/A,N/A,N/A,0,0,0,N/A
BHR9917GL,447,599,14.18,N/A,N/A,N/A,19,47,0,N/A
BHR9441GL,447,599,14.18,N/A,N/A,N/A,80,100,0,N/A
BHR8775GL,187,249,13.63,N/A,N/A,N/A,0,60,0,N/A
BHR8773GL,187,249,13.63,N/A,N/A,N/A,70,100,0,N/A
BHR07Y5GL,1147,1549,14.85,N/A,N/A,N/A,8,21,0,N/A
BHR08GUEU,6507,8799,14.96,N/A,N/A,N/A,0,0,0,N/A
BHR089NEU,8873,11999,14.96,N/A,N/A,N/A,0,0,0,N/A
TUF-RTX5060TI-O16G,12733,17229,15.01,N/A,N/A,N/A,3,9,0,N/A
DUAL-RTX5070-O12G,13039,17639,14.99,N/A,N/A,N/A,3,6,0,N/A
PRIME-RTX5070TI-O16G,19436,26299,15.01,N/A,N/A,N/A,2,3,0,N/A
ROGCROSSHAIRX870EHEROBTF,12529,16949,14.99,N/A,N/A,N/A,1,3,0,N/A
PCB-MP-TRACK,47,69,21.67,N/A,N/A,N/A,0,0,0,N/A
"VCX10M ARGB",372,499,14.27,N/A,N/A,N/A,0,0,0,N/A
"LUNA 360 ARGB W",787,1059,14.54,N/A,N/A,N/A,0,0,0,N/A
"LUNA 360 ARGB",737,999,15.16,N/A,N/A,N/A,0,0,0,N/A
PFJ4197EU,919,1199,11.86,N/A,N/A,N/A,91,100,0,N/A
BHR08LXEU,1624,2199,15.07,N/A,N/A,N/A,0,0,0,N/A
BHR087OEU,395,529,14.13,N/A,N/A,N/A,0,0,0,N/A
BHR0913GL,1069,1449,15.16,N/A,N/A,N/A,0,0,0,N/A
BHR08Z2GL,1069,1449,15.16,N/A,N/A,N/A,0,0,0,N/A
BHR08POGL,569,769,14.91,N/A,N/A,N/A,0,0,0,N/A
BHR08PNGL,569,769,14.91,N/A,N/A,N/A,0,0,0,N/A
BHR08PMGL,569,769,14.91,N/A,N/A,N/A,0,0,0,N/A
BHR08PLGL,569,769,14.91,N/A,N/A,N/A,0,0,0,N/A
